0001;Arret;Prgm;;;;;;;;;;;;;;;;;;;;;;;;
0011;Recup;TPS;;;;;;;;;;;;;;;;;;;;;;;;;
0012;Recup;PS;;;;;;;;;;;;;;;;;;;;;;;;;;
0013;Recup;MS;;;;;;;;;;;;;;;;;;;;;;;;;;
0014;Recup;GS;;;;;;;;;;;;;;;;;;;;;;;;;;
0015;Recup;CP;;;;;;;;;;;;;;;;;;;;;;;;;;
0016;Recup;CE1;;;;;;;;;;;;;;;;;;;;;;;;;
0017;Recup;CE2;;;;;;;;;;;;;;;;;;;;;;;;;
0018;Recup;CM1;;;;;;;;;;;;;;;;;;;;;;;;;
0019;Recup;CM2;;;;;;;;;;;;;;;;;;;;;;;;;
